flat,school,school_dist,num_school_2km
861 WOODLANDS ST 83,Evergreen Primary School,0.5021997437395046,17
274D PUNGGOL PL,Punggol Green Primary School,0.3460252596124259,25
662 WOODLANDS RING RD,Woodlands Ring Primary School,0.09950132793989186,17
533 ANG MO KIO AVE 5,Jing Shan Primary School,0.2349693648857785,7
229 CHOA CHU KANG CTRL,South View Primary School,0.11246209564307624,12
456 PASIR RIS DR 4,Casuarina Primary School,0.21030293993993324,12
259 TAMPINES ST 21,Gongshang Primary School,0.23814938820606416,25
252 JURONG EAST ST 24,Yuhua Primary School,0.33365587044480943,9
353 ANG MO KIO ST 32,Teck Ghee Primary School,0.18318101044645033,12
201 TOA PAYOH NTH,Guangyang Primary School,0.5088933456012118,15
279 CHOA CHU KANG AVE 3,South View Primary School,0.3339829672226802,12
61B STRATHMORE AVE,Queenstown Primary School,0.5312079559489319,7
126B EDGEDALE PLAINS,Greendale Primary School,0.2537280761577631,19
702 YISHUN AVE 5,Jiemin Primary School,0.2582332914217288,13
2 HAIG RD,Haig Girls' School,0.5810853036787372,12
135 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.4773415939306208,12
57 JLN MA'MOR,Hong Wen School,0.7434822194604155,14
851 HOUGANG CTRL,Holy Innocents' Primary School,0.36135016886382176,13
984D BUANGKOK LINK,Hougang Primary School,0.5521633485673727,15
813B YISHUN RING RD,Peiying Primary School,0.2178494626658036,10
260B ANG MO KIO ST 21,CHIJ St. Nicholas Girls' School,0.5111423906400815,8
732 WOODLANDS CIRCLE,Admiralty Primary School,0.2099175047101043,17
180C BOON LAY DR,Corporation Primary School,0.3104783610695625,13
276D JURONG WEST ST 25,Corporation Primary School,0.4499214490751983,10
29 BALAM RD,Canossa Catholic Primary School,0.6521202368651844,10
475D UPP SERANGOON CRES,CHIJ Our Lady of the Nativity,0.3431554836183393,13
328 CLEMENTI AVE 2,Pei Tong Primary School,0.25049186819975,7
101 HENDERSON CRES,Alexandra Primary School,0.3189254214698916,9
108 LENGKONG TIGA,Eunos Primary School,0.6221541040933213,11
989C JURONG WEST ST 93,Frontier Primary School,0.5115957173640515,9
672 CHOA CHU KANG CRES,Unity Primary School,0.10797616502517089,4
317 HOUGANG AVE 7,Holy Innocents' Primary School,0.3172391697490368,11
984A BUANGKOK LINK,Hougang Primary School,0.5107389887055085,15
404 FAJAR RD,Zhenghua Primary School,0.23025948139733818,11
107 JLN RAJAH,Hong Wen School,0.7348079643931523,14
5 MARINE TER,Ngee Ann Primary School,0.10947579802278531,10
205 BEDOK NTH ST 1,Fengshan Primary School,0.44054053225103973,12
779 YISHUN AVE 2,Peiying Primary School,0.6275080657595751,14
43 TELOK BLANGAH RISE,Radin Mas Primary School,0.5172656069267738,8
673A CHOA CHU KANG CRES,Unity Primary School,0.21798974959586537,4
120 SIMEI ST 1,Angsana Primary School,0.43543434799043956,23
2C BOON TIONG RD,Zhangde Primary School,0.8211475049925081,10
619 JURONG WEST ST 65,Jurong West Primary School,0.28625122168211203,12
408 TAMPINES ST 41,Tampines Primary School,0.42813655768897946,26
578 WOODLANDS DR 16,Woodlands Ring Primary School,0.4029648947358372,17
267B COMPASSVALE LINK,North Vista Primary School,0.16898189486925452,19
551 JURONG WEST ST 42,Rulang Primary School,0.6465630627379017,9
178A RIVERVALE CRES,Mee Toh School,0.6353113174737786,19
244 SIMEI ST 5,Changkat Primary School,0.4789597733488303,22
18B HOLLAND DR,Henry Park Primary School,1.0127742204608323,4
658C JURONG WEST ST 65,Frontier Primary School,0.09142157644002538,14
366A SEMBAWANG CRES,Sembawang Primary School,0.5556769978650131,12
508B WELLINGTON CIRCLE,Wellington Primary School,0.17363054426743482,6
441 ANG MO KIO AVE 10,Teck Ghee Primary School,0.36100640787883953,14
178C RIVERVALE CRES,Mee Toh School,0.6904200965951648,19
997C BUANGKOK CRES,Anchor Green Primary School,0.8195545305940847,15
698C HOUGANG ST 52,Montfort Junior School,0.20124627071255868,16
117 CLEMENTI ST 13,Pei Tong Primary School,0.9574651496013568,8
150 BT BATOK ST 11,Princess Elizabeth Primary School,0.29888089497327464,12
194 BISHAN ST 13,Kuo Chuan Presbyterian Primary School,0.33953954506880896,17
28 CASSIA CRES,Kong Hwa School,0.5826416952793672,6
106 BEDOK RESERVOIR RD,Telok Kurau Primary School,0.2429107330566822,9
545 ANG MO KIO AVE 10,Jing Shan Primary School,0.4748876014111146,8
988B BUANGKOK GREEN,Hougang Primary School,0.46929330876381636,12
406 SIN MING AVE,Ai Tong School,0.2871006701618356,7
112 BEDOK RESERVOIR RD,Telok Kurau Primary School,0.15741988280685773,9
725 YISHUN ST 71,Jiemin Primary School,0.08694628102226656,14
326 SEMBAWANG CRES,Sembawang Primary School,0.2147025819551333,10
269B QUEEN ST,Stamford Primary School,0.5606902731114185,6
190B RIVERVALE DR,Rivervale Primary School,0.25661940629622726,29
679B PUNGGOL DR,Oasis Primary School,0.33989116162694843,21
705 YISHUN AVE 5,Jiemin Primary School,0.18578152493810637,12
518 WOODLANDS DR 14,Woodgrove Primary School,0.18528420978518562,19
405 BT BATOK WEST AVE 7,St. Anthony's Primary School,0.4657399457535795,9
412 BEDOK NTH AVE 2,Fengshan Primary School,0.0894107327942871,11
117 YISHUN RING RD,Ahmad Ibrahim Primary School,0.6412951060142213,8
226 SIMEI ST 4,Changkat Primary School,0.5984534701544378,15
145 TAMPINES ST 12,Tampines Primary School,0.11351941852322164,25
49 STRATHMORE AVE,Queenstown Primary School,0.18888832506212286,6
307 SERANGOON AVE 2,CHIJ Our Lady of Good Counsel,0.4602933672362729,12
54 TEBAN GDNS RD,Fuhua Primary School,1.6506924501185143,2
277B COMPASSVALE LINK,North Vista Primary School,0.17018508608155494,19
110 GANGSA RD,Zhenghua Primary School,0.22759858494211782,11
572 HOUGANG ST 51,Yio Chu Kang Primary School,0.20830853244927064,18
817 YISHUN ST 81,Peiying Primary School,0.6962073587533504,5
362B SEMBAWANG CRES,Canberra Primary School,0.5760128695750496,12
504 JURONG WEST ST 51,Rulang Primary School,0.3442445629479743,8
470 SEGAR RD,Beacon Primary School,0.4956419018839563,7
110 WOODLANDS ST 13,Si Ling Primary School,0.7585562256054291,14
121 BISHAN ST 12,Guangyang Primary School,0.24275842798764605,18
144 BISHAN ST 12,Kuo Chuan Presbyterian Primary School,0.3880927089621019,18
681 CHOA CHU KANG CRES,Unity Primary School,0.1387694711193789,4
173D PUNGGOL FIELD,Greendale Primary School,0.18240305705712742,19
253 SIMEI ST 1,Changkat Primary School,0.18455791902077653,19
808B CHOA CHU KANG AVE 1,Chua Chu Kang Primary School,0.5240709866614678,11
126 POTONG PASIR AVE 1,St. Andrew's Junior School,0.39495764965650865,15
554 HOUGANG ST 51,Yio Chu Kang Primary School,0.4581962635642441,19
868 TAMPINES ST 83,Poi Ching School,0.34777018321683484,18
139B LOR 1A TOA PAYOH,Kheng Cheng School,0.3686972901295848,13
547 CHOA CHU KANG ST 52,De La Salle School,0.1821931394093306,10
505 CHOA CHU KANG ST 51,De La Salle School,0.6623816441562024,10
114 LOR 1 TOA PAYOH,Marymount Convent School,0.4810574120888979,13
319 JURONG EAST ST 31,Jurong Primary School,0.30437745433277147,11
43 SIMS DR,Geylang Methodist School (Primary),0.8096868038741445,6
988B JURONG WEST ST 93,Frontier Primary School,0.4357560137549621,9
16 JOO SENG RD,Cedar Primary School,0.5336278787592124,10
69 MOULMEIN RD,St. Joseph's Institution Junior,0.5579614215490403,13
406A FERNVALE RD,Fernvale Primary School,0.25302977515329567,9
544 JELAPANG RD,West View Primary School,0.45659066468889586,12
827 TAMPINES ST 81,St. Hilda's Primary School,0.3677847795247273,20
134 LOR AH SOO,Methodist Girls' School (Primary),0.20329017249593676,5
555 PASIR RIS ST 51,Casuarina Primary School,0.7522129214863656,18
187 PASIR RIS ST 11,White Sands Primary School,0.1983587160084375,19
305 TAMPINES ST 32,Chongzheng Primary School,0.5322110741832122,21
103 LENGKONG TIGA,Telok Kurau Primary School,0.5751371908968507,11
590B ANG MO KIO ST 51,Jing Shan Primary School,0.149323305497449,9
838 TAMPINES ST 82,St. Hilda's Primary School,0.24316356482269363,25
325 SERANGOON AVE 3,Yangzheng Primary School,0.2536060171184938,17
113 TAMPINES ST 11,Tampines Primary School,0.4377193861505175,26
615 WOODLANDS AVE 4,Woodlands Ring Primary School,0.1291238511274709,17
