flat,mrt,mrt_dist,num_mrt_2km
563 HOUGANG ST 51,BUANGKOK MRT STATION,0.5926389078223604,12
157 JLN TECK WHYE,PHOENIX LRT STATION,0.15501452236665347,17
928 JURONG WEST ST 92,PIONEER MRT STATION,0.9752458934110159,3
205C COMPASSVALE LANE,RANGGUNG LRT STATION,0.21855694003846496,17
689A WOODLANDS DR 75,ADMIRALTY MRT STATION,0.8780364095525792,2
43 MOH GUAN TER,TIONG BAHRU MRT STATION,0.4788967911839937,11
531 BEDOK NTH ST 3,BEDOK RESERVOIR MRT STATION,0.7758299929341063,6
291A COMPASSVALE ST,COMPASSVALE LRT STATION,0.30781202296302024,24
50 CHAI CHEE ST,BEDOK NORTH MRT STATION,0.779713327785174,5
107 BT PURMEI RD,HARBOURFRONT MRT STATION,0.9098321581976473,6
845 TAMPINES ST 83,TAMPINES WEST MRT STATION,0.832830071330966,4
314 SERANGOON AVE 2,LORONG CHUAN MRT STATION,0.2107025288653453,7
538 WOODLANDS DR 16,WOODLANDS SOUTH MRT STATION,0.3067219753655819,4
668 CHOA CHU KANG CRES,YEW TEE MRT STATION,0.518751700433526,3
836 HOUGANG CTRL,HOUGANG MRT STATION,0.22040157987134634,6
13 TECK WHYE LANE,PHOENIX LRT STATION,0.24837261680885084,17
166 TAMPINES ST 12,TAMPINES MRT STATION,0.516604006433062,6
607 HOUGANG AVE 4,HOUGANG MRT STATION,0.7001571520253316,5
343 TAMPINES ST 33,TAMPINES EAST MRT STATION,0.88042490515771,6
682C WOODLANDS DR 73,ADMIRALTY MRT STATION,0.36393362767909704,4
14 BEDOK STH AVE 2,BEDOK MRT STATION,0.7510380936240675,3
981D BUANGKOK CRES,TONGKANG LRT STATION,1.2206860361407001,8
174 WOODLANDS ST 13,MARSILING MRT STATION,0.4178515757628109,6
818 WOODLANDS ST 82,WOODLANDS MRT STATION,0.6525903820904794,5
708 CLEMENTI WEST ST 2,CLEMENTI MRT STATION,1.0797033851833968,2
658B PUNGGOL EAST,KADALOOR LRT STATION,0.2961621002678096,12
886D WOODLANDS DR 50,ADMIRALTY MRT STATION,0.768338495904581,5
118 TECK WHYE LANE,KEAT HONG LRT STATION,0.22381695212034725,14
213 MARSILING CRES,WOODLANDS NORTH MRT STATION,1.4488895221954607,3
801 YISHUN RING RD,KHATIB MRT STATION,0.12296867976915539,2
127C KIM TIAN RD,TIONG BAHRU MRT STATION,0.6158670236800484,9
735 YISHUN ST 72,YISHUN MRT STATION,0.4226788829306827,3
209 CHOA CHU KANG CTRL,SOUTH VIEW LRT STATION,0.41019202331275084,12
560 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,1.0771206246344747,2
14A UPP BOON KENG RD,KALLANG MRT STATION,0.4243378344873454,12
532 WOODLANDS DR 14,WOODLANDS SOUTH MRT STATION,0.4251091354745767,4
104 RIVERVALE WALK,KANGKAR LRT STATION,0.20220392137923648,15
132 SIMEI ST 1,SIMEI MRT STATION,0.48632116296936273,8
522 JURONG WEST ST 52,LAKESIDE MRT STATION,0.538790497664079,3
30 TEBAN GDNS RD,JURONG EAST MRT STATION,1.4101189821232256,2
111B DEPOT RD,LABRADOR PARK MRT STATION,1.1540635177365015,5
172 HOUGANG AVE 1,KOVAN MRT STATION,1.1711355865727202,5
167 BISHAN ST 13,BISHAN MRT STATION,0.7853114919542704,8
552 CHOA CHU KANG ST 52,YEW TEE MRT STATION,0.6212784294113156,5
41 TANGLIN HALT RD,COMMONWEALTH MRT STATION,0.4665388614962525,7
405 HOUGANG AVE 10,HOUGANG MRT STATION,0.5483764596751621,9
28 NEW UPP CHANGI RD,BEDOK MRT STATION,0.5610633336439232,3
352 CLEMENTI AVE 2,CLEMENTI MRT STATION,0.6756454471982649,2
325 SEMBAWANG CRES,SEMBAWANG MRT STATION,0.5244729802466777,2
312 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.42167274876931865,4
354B ADMIRALTY DR,SEMBAWANG MRT STATION,0.21318236846221827,2
707 PASIR RIS DR 10,PASIR RIS MRT STATION,1.5329618367059603,1
107A EDGEFIELD PLAINS,MERIDIAN LRT STATION,0.23605400948816774,23
388 BT BATOK WEST AVE 5,BUKIT GOMBAK MRT STATION,0.6737688299792625,11
430A FERNVALE LINK,LAYAR LRT STATION,0.2588508266641619,10
756 JURONG WEST ST 74,BOON LAY MRT STATION,1.3281385925327533,2
211 BT BATOK ST 21,BUKIT BATOK MRT STATION,0.34404309616005135,4
