flat,supermarket_dist,num_supermarket_2km
104B ANG MO KIO ST 11,0.3227096294158469,11
3B UPP BOON KENG RD,0.1871795983090166,26
303 TAMPINES ST 32,0.3549395036216924,15
118A JLN MEMBINA,0.1343611100462359,17
742 YISHUN AVE 5,0.2131642188228109,15
406 YISHUN AVE 6,0.26262002064225404,14
210C PUNGGOL PL,0.3289913080661317,18
22 HAVELOCK RD,0.2940280127674231,27
77 LOR LIMAU,0.1831123934375645,25
108A CANBERRA WALK,0.9807058335617292,11
430 CLEMENTI AVE 3,0.3169155823020404,13
101 CLEMENTI ST 14,0.14834221821490962,11
207 CHOA CHU KANG CTRL,0.474411347305177,14
93 C'WEALTH DR,0.42238580402874243,14
632B PUNGGOL DR,0.2911470848586215,13
420 JURONG WEST ST 42,0.2909322213136818,11
476 JURONG WEST ST 41,0.06965340996347152,9
402 YISHUN RING RD,0.18249731025038038,15
271C SENGKANG CTRL,0.20671821789342557,15
69 BEDOK STH AVE 3,0.5885221703726332,13
540 BEDOK NTH ST 3,0.4045339345166763,19
427 BEDOK NTH RD,0.44091990460267355,20
312 HOUGANG AVE 5,0.1300199286097434,15
855 JURONG WEST ST 81,0.5918865271911692,9
670C EDGEFIELD PLAINS,0.21895316892046499,13
235 COMPASSVALE WALK,0.5683570379961087,18
556 CHOA CHU KANG NTH 6,0.32369166664461707,5
213 TAMPINES ST 23,0.18140857209316108,17
753 WOODLANDS CIRCLE,0.39009296846538666,14
716 CLEMENTI WEST ST 2,0.10547742319461126,9
8 ST. GEORGE'S LANE,0.22325369005219253,29
324 TAH CHING RD,0.37317758768907044,15
353 WOODLANDS AVE 1,0.4120122991759937,8
11 TECK WHYE LANE,0.1902909070748274,17
71 MARINE DR,0.3995632159935335,14
98 WHAMPOA DR,0.12224511797600228,29
923 JURONG WEST ST 92,0.3322235561086298,10
369 YUNG AN RD,0.2484281454096872,14
