flat,school,school_dist,num_school_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_dhoby
214 PETIR RD,Bukit Panjang Primary School,0.627219315677299,9,PENDING LRT STATION,0.4187478297576915,13,0.3947787107913852,10,11.461910907256131
2A BOON TIONG RD,Zhangde Primary School,0.8424867979827013,10,TIONG BAHRU MRT STATION,0.6845731997978033,14,0.2577566404514579,27,1.9535735743707787
105 SIMEI ST 1,Changkat Primary School,0.1674248735474541,20,SIMEI MRT STATION,0.3833342038284951,9,0.3214118499996469,18,12.606296336126626
489B TAMPINES ST 45,White Sands Primary School,0.6053924169926629,19,TAMPINES EAST MRT STATION,0.6511301073095083,4,0.4959042477605765,17,14.24424810873323
701 WEST COAST RD,Qifa Primary School,0.8091254053385778,6,CLEMENTI MRT STATION,0.92276485043641,2,0.5368052082839527,11,9.38329916859314
178 LOMPANG RD,Zhenghua Primary School,0.5062713318582601,11,BUKIT PANJANG LRT STATION,0.3245580298515375,15,0.0908223303285042,12,12.659866645071407
672B CHOA CHU KANG CRES,Unity Primary School,0.1011094323806867,4,YEW TEE MRT STATION,0.4915437045148622,3,0.5554027029013464,7,15.762423114986104
43 CHAI CHEE ST,Fengshan Primary School,0.6929622191474106,12,BEDOK MRT STATION,0.6801208805191308,4,0.4215351304701322,20,9.503278495423194
220 BT BATOK EAST AVE 3,Bukit View Primary School,0.2112861043154661,11,BUKIT BATOK MRT STATION,0.595951184649785,2,0.2611731146315653,16,11.399665137128421
476C UPP SERANGOON VIEW,CHIJ Our Lady of the Nativity,0.877397944336131,14,KANGKAR LRT STATION,0.7099259077382811,11,0.0909125428758792,10,10.900419610666635
288B JURONG EAST ST 21,Yuhua Primary School,0.4709182650604227,9,JURONG EAST MRT STATION,0.642670497704122,4,0.5285721087136276,18,12.209949615526073
817A KEAT HONG LINK,South View Primary School,0.6138077225577018,11,KEAT HONG LRT STATION,0.2284805167099629,11,0.4696498850943607,14,13.746459998649645
238 COMPASSVALE WALK,Seng Kang Primary School,0.1610475521561935,25,SENGKANG MRT STATION,0.3819318322160411,21,0.5680727249842468,18,11.697597574276593
433A SENGKANG WEST WAY,Sengkang Green Primary School,0.3499271764071524,7,THANGGAM LRT STATION,0.3397372338603765,8,0.425892171842077,8,11.16911409923051
866 TAMPINES ST 83,Poi Ching School,0.3856530457980731,18,TAMPINES MRT STATION,0.95622361689659,4,0.1264370048342782,10,11.637756575460871
662 HOUGANG AVE 4,Xinmin Primary School,0.3487867249606464,15,HOUGANG MRT STATION,1.1591504697078536,7,0.3548121093425276,19,9.28429534526403
852 JURONG WEST ST 81,Xingnan Primary School,0.7669099023517292,10,PIONEER MRT STATION,1.2012006725914606,2,0.6186767943972171,8,17.78231822888534
688 JURONG WEST CTRL 1,Jurong West Primary School,0.7594362722149993,16,BOON LAY MRT STATION,0.2887058748353943,3,0.1978782993352522,11,16.244379030425016
309 BT BATOK ST 31,Dazhong Primary School,0.1045783323683556,9,BUKIT GOMBAK MRT STATION,0.353962270978337,2,0.0900328166621065,12,12.56558762067956
302B ANCHORVALE LINK,Palm View Primary School,0.4585364959865459,23,RENJONG LRT STATION,0.1275767104269192,17,0.313500609166697,18,11.019530792144998
174B HOUGANG AVE 1,Methodist Girls' School (Primary),0.4792460876954652,6,KOVAN MRT STATION,1.265417684210297,5,0.4845422442262586,10,7.40536016281665
351A ANCHORVALE RD,Springdale Primary School,0.3774170946924589,17,FARMWAY LRT STATION,0.4500324488471062,14,0.4211673138433888,14,11.449967614833167
30 KELANTAN RD,Stamford Primary School,0.2318333018616604,9,JALAN BESAR MRT STATION,0.1568936765618782,22,0.2225681279593797,25,1.4592963080641423
227B SUMANG LANE,Punggol Green Primary School,0.592175172532545,22,SOO TECK LRT STATION,0.4250880273031436,21,0.4062178651142893,16,12.717214998338314
772 WOODLANDS DR 60,Riverside Primary School,0.4063445346481102,15,ADMIRALTY MRT STATION,0.7990515229152682,4,0.1781834515357361,15,17.176201408800292
266A PUNGGOL WAY,Valour Primary School,0.1566820006317321,23,SOO TECK LRT STATION,0.1297718703133606,19,0.1412408555047414,15,13.170271942444424
17B CIRCUIT RD,Canossa Catholic Primary School,0.8561376892718678,11,MACPHERSON MRT STATION,0.4153407617908641,10,0.1341709261013038,22,5.94530557991303
